lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year
35.20105,-91.8318334,Militant Knights KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2015
35.20105,-91.8318334,National Socialist Movement,"",ARKANSAS,National Socialist Movement,Neo-Nazi,"",Yes,2015
35.20105,-91.8318334,Southern National Congress,"",ARKANSAS,"",Neo-Confederate,"",Yes,2015
35.20105,-91.8318334,Aryan Strikeforce,"",ARKANSAS,"",Racist Skinhead,"",Yes,2016
35.20105,-91.8318334,Divine Truth Ministries,"",ARKANSAS,"",Christian Identity,"",Yes,2016
35.20105,-91.8318334,Southern National Congress,"",ARKANSAS,"",Neo-Confederate,"",Yes,2016
35.20105,-91.8318334,Aryan Strikeforce,"",ARKANSAS,"",Racist Skinhead,"",Yes,2017
35.20105,-91.8318334,Divine Truth Ministries,"",ARKANSAS,"",Christian Identity,"",Yes,2017
35.20105,-91.8318334,Israel United In Christ,"",ARKANSAS,"",Black Separatist,"",Yes,2018
35.20105,-91.8318334,Atomwaffen Division,"",ARKANSAS,"",Neo-Nazi,"",Yes,2018
35.20105,-91.8318334,Identity Evropa,"",ARKANSAS,Identity Evropa/American Identity Movement,White Nationalist,"",Yes,2018
35.20105,-91.8318334,Patriot Front,"",ARKANSAS,"",White Nationalist,"",Yes,2019
36.778261,-119.4179324,American Revolutionary Nationalist Nuclei,"",CALIFORNIA,"",General Hate,"",Yes,2003
36.778261,-119.4179324,American Front,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2005
36.778261,-119.4179324,American Thule Society,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2006
36.778261,-119.4179324,Aryan Nations Youth Action Corps,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2006
36.778261,-119.4179324,California Skinheads,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2006
36.778261,-119.4179324,Empire Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2006
36.778261,-119.4179324,American National Socialist Workers Party,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2007
36.778261,-119.4179324,American Thule Society,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2007
36.778261,-119.4179324,Aryan Nations Youth Action Corps,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2007
36.778261,-119.4179324,Empire Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2007
36.778261,-119.4179324,Jewish Defense League,"",CALIFORNIA,"",General Hate,"",Yes,2007
36.778261,-119.4179324,White Revolution,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2007
36.778261,-119.4179324,American National Socialist Workers Party,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2008
36.778261,-119.4179324,American Renaissance/New Century Foundation,"",CALIFORNIA,American Renaissance,White Nationalist,"",Yes,2008
36.778261,-119.4179324,American Thule Society,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2008
36.778261,-119.4179324,Aryan Nations Youth Action Corps,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2008
36.778261,-119.4179324,Council of Conservative Citizens,"",CALIFORNIA,Council of Conservative Citizens,White Nationalist,"",Yes,2008
36.778261,-119.4179324,Golden State Skinheads,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2008
36.778261,-119.4179324,Golden State Skinheads,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2008
36.778261,-119.4179324,Jewish Defense League,"",CALIFORNIA,"",General Hate,"",Yes,2008
36.778261,-119.4179324,Knights of the Nordic Order,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2008
36.778261,-119.4179324,National Socialist Movement,"",CALIFORNIA,National Socialist Movement,Neo-Nazi,"",Yes,2008
36.778261,-119.4179324,New Black Panther Party,"",CALIFORNIA,New Black Panther Party,Black Separatist,"",Yes,2008
36.778261,-119.4179324,San Fernando Valley Skins,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2008
36.778261,-119.4179324,United Southern Brotherhood,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2008
36.778261,-119.4179324,White Revolution,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2008
36.778261,-119.4179324,Aryan Nations Revival,"",CALIFORNIA,"",Christian Identity,"",Yes,2009
36.778261,-119.4179324,Knights of the Nordic Order,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2009
36.778261,-119.4179324,National Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2009
36.778261,-119.4179324,New Black Panther Party,"",CALIFORNIA,New Black Panther Party,Black Separatist,"",Yes,2009
36.778261,-119.4179324,Volksfront,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2009
36.778261,-119.4179324,Aryan Nations,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2010
36.778261,-119.4179324,Aryan Terror Brigade,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2010
36.778261,-119.4179324,Blood and Honour America Division,"",CALIFORNIA,Blood & Honour,Racist Skinhead,"",Yes,2010
36.778261,-119.4179324,Blood and Honour America Division,"",CALIFORNIA,Blood & Honour,Racist Skinhead,"",Yes,2010
36.778261,-119.4179324,Brotherhood of Klans Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2010
36.778261,-119.4179324,Council of Conservative Citizens,"",CALIFORNIA,Council of Conservative Citizens,White Nationalist,"",Yes,2010
36.778261,-119.4179324,Freedom 14,"",CALIFORNIA,"",White Nationalist,"",Yes,2010
36.778261,-119.4179324,Golden State Skinheads,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2010
36.778261,-119.4179324,United Northern and Southern Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2010
36.778261,-119.4179324,Volksfront,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2010
36.778261,-119.4179324,White Revolution,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2010
36.778261,-119.4179324,American Nazi Party,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2011
36.778261,-119.4179324,Aryan Terror Brigade,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2011
36.778261,-119.4179324,Council of Conservative Citizens,"",CALIFORNIA,Council of Conservative Citizens,White Nationalist,"",Yes,2011
36.778261,-119.4179324,Golden State Skinheads,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2011
36.778261,-119.4179324,South Africa Project,"",CALIFORNIA,"",White Nationalist,"",Yes,2011
36.778261,-119.4179324,Supreme White Alliance,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2011
36.778261,-119.4179324,Temple 88,"",CALIFORNIA,"",White Nationalist,"",Yes,2011
36.778261,-119.4179324,United Knights Of Tennessee Order Of The KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2011
36.778261,-119.4179324,United Northern and Southern Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2011
